Motichoor Chaknachoor,2019,"Comedy, Romance",5.8,8,1801,(2019)
Rock On!!,2008,"Drama, Music",7.8,9,20203,(2008)
6 Days,2017,"Action, Drama, History",6.2,6,16846,(I) (2017)
Uncut Gems,2019,"Crime, Drama, Thriller",7.5,9,170181,(2019)
The Breadwinner,2017,"Animation, Drama, Family",7.7,9,17976,(2017)
Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",7.5,7,292329,(2019)
Ad Astra,2019,"Adventure, Drama, Mystery",6.6,8,165533,(2019)
Snowpiercer,2013,"Action, Drama, Sci-Fi",7.1,9,290206,(2013)
Parasite,2019,"Comedy, Drama, Thriller",8.6,10,416109,(2019)
Bird Box,2018,"Drama, Horror, Sci-Fi",6.6,7,259389,(2018)
Jamtara: Sabka Number Ayega,2020,Crime,7.4,9,3231,(2020– )
The Company Men,2010,Drama,6.7,7,42625,(2010)
Kidnapping Mr. Heineken,2015,"Action, Crime, Drama",6.1,7,18820,(2015)
Lawless,2012,"Crime, Drama",7.3,8,222399,(2012)
Righteous Kill,2008,"Crime, Drama, Mystery",6,7,83080,(2008)
6 Underground,2019,"Action, Comedy, Thriller",6.1,7,122087,(2019)
The Irishman,2019,"Biography, Crime, Drama",7.9,8,291556,(2019)
The Greatest Showman,2017,"Biography, Drama, Musical",7.6,7,220901,(2017)
The Lost City of Z,2016,"Biography, Drama, History",6.6,8,74431,(2016)
Yeh Meri Family,2018,"Comedy, Drama, Family",9.2,10,17650,(2018– )
Making a Murderer,2015,"Documentary, Crime",8.6,10,83145,(2015– )
Sacred Games,2018,"Action, Crime, Drama",8.7,9,67348,(2018– )
TVF Pitchers,2015,"Comedy, Drama",9.2,10,48707,(2015)
Last Week Tonight with John Oliver,2014,"Comedy, News, Talk-Show",8.9,10,74606,(2014– )
Game Over,2019,"Drama, Thriller",7.1,8,5236,(I) (2019)
When Harry Met Sejal,2017,"Comedy, Drama, Romance",5.3,5,17922,(2017)
Gurgaon,2016,"Crime, Thriller",6.6,8,1479,(2016)
Rounders,1998,"Crime, Drama",7.3,7,139606,(1998)
The King,2019,"Biography, Drama, History",7.2,8,73867,(I) (2019)
American History X,1998,Drama,8.5,9,1003118,(1998)
Bala,2019,Comedy,7.4,10,9536,(2019)
Dev.D,2009,"Drama, Romance",8,8,27642,(2009)
The Witch,2015,"Drama, Horror, Mystery",6.9,7,183531,(2015)
Layer Cake,2004,"Action, Crime, Drama",7.3,9,162044,(2004)
Joker,2019,"Crime, Drama, Thriller",8.5,9,798422,(2019)
Mr. Nobody,2009,"Drama, Fantasy, Romance",7.8,8,209178,(2009)
IO,2019,"Adventure, Drama, Romance",4.7,5,29031,(2019)
Unlocked,2017,"Action, Drama, Mystery",6.2,6,27083,(I) (2017)
The Laundromat,2019,"Comedy, Crime, Drama",6.3,8,38365,(I) (2019)
In the Shadow of the Moon,2019,"Crime, Mystery, Sci-Fi",6.2,7,34293,(2019)
American Psycho,2000,"Comedy, Crime, Drama",7.6,9,464808,(2000)
Les Misérables,2012,"Drama, History, Musical",7.6,8,299750,(2012)
Salt,2010,"Action, Mystery, Thriller",6.4,7,288730,(2010)
Stree,2018,"Comedy, Horror",7.6,9,25259,(2018)
Uri: The Surgical Strike,2019,"Action, Drama, War",8.3,7,39536,(2019)
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",7.7,10,522717,(2005)
Hell or High Water,2016,"Action, Crime, Drama",7.6,7,194100,(II) (2016)
El Camino: A Breaking Bad Movie,2019,"Action, Crime, Drama",7.4,8,164589,(2019)
Annihilation,2018,"Adventure, Drama, Horror",6.9,9,264622,(2018)
Babel,2006,Drama,7.4,10,282959,(I) (2006)
The Spy,2019,"Drama, History",7.9,10,24427,(2019)
Article 15,2019,"Crime, Drama, Mystery",8.2,10,19300,(2019)
Verónica,2017,Horror,6.2,7,33000,(I) (2017)
El Chapo,2017,"Crime, Drama",7.8,8,13154,(2017– )
Fargo,1996,"Crime, Drama, Thriller",8.1,8,593633,(1996)
Better Call Saul,2015,"Crime, Drama",8.7,9,293946,(2015– )
Hotel Mumbai,2018,"Action, Drama, History",7.6,9,46472,(2018)
John Wick: Chapter 2,2017,"Action, Crime, Thriller",7.5,7,344379,(2017)
Inside Look: The People v. O.J. Simpson - American Crime Story,2016,"Documentary, Short",8.4,9,21684,(2016)
The Red Sea Diving Resort,2019,"Drama, History, Thriller",6.5,7,20061,(2019)
Once Upon a Time... in Hollywood,2019,"Comedy, Drama",7.7,7,471820,(2019)
The Handmaid's Tale,2017,"Drama, Sci-Fi, Thriller",8.5,9,154103,(2017– )
Breaking Bad,2008,"Crime, Drama, Thriller",9.5,10,1357906,(2008–2013)
Polar,2019,"Action, Crime, Drama",6.3,5,68598,(I) (2019)
Rain Man,1988,Drama,8,8,460471,(1988)
Wild Wild Country,2018,"Documentary, Crime",8.2,9,21383,(2018)
Coincidence,2017,"Mystery, Thriller",7.2,9,9497,(2017)
Designated Survivor,2016,"Action, Drama, Mystery",7.5,8,70405,(2016–2019)
Ugly,2013,"Crime, Drama, Mystery",8,9,18817,(2013)
Chernobyl,2019,"Drama, History, Thriller",9.4,10,467204,(2019)
"Extremely Wicked, Shockingly Evil and Vile",2019,"Biography, Crime, Drama",6.6,7,69600,(2019)
Chopsticks,2019,"Comedy, Drama",6.4,7,3635,(2019)
Baazaar,2018,"Crime, Drama, Thriller",6.6,8,4270,(2018)
I Am Mother,2019,"Drama, Mystery, Sci-Fi",6.7,7,66522,(2019)
Fleabag,2016,"Comedy, Drama",8.7,10,74764,(2016–2019)
Captain Marvel,2019,"Action, Adventure, Sci-Fi",6.9,8,413086,(2019)
Thackeray,2019,"Biography, Drama",5.2,7,2647,(2019)
Vice,2018,"Biography, Comedy, Drama",7.2,10,108460,(I) (2018)
Pokémon Detective Pikachu,2019,"Adventure, Comedy, Family",6.6,7,125701,(2019)
John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",7.5,8,247012,(2019)
The Graduate,1967,"Comedy, Drama, Romance",8,9,247517,(1967)
Avengers: Endgame,2019,"Action, Adventure, Drama",8.4,9,722667,(2019)
Detective Byomkesh Bakshy!,2015,"Action, Mystery, Thriller",7.6,6,15303,(2015)
Blackmail,2018,"Comedy, Thriller",7.1,9,8318,(I) (2018)
The Americans,2013,"Crime, Drama, Mystery",8.4,9,78572,(2013–2018)
"Love, Death & Robots",2019,"Animation, Short, Comedy",8.5,10,84048,(2019– )
Mirage,2018,"Drama, Mystery, Romance",7.4,9,33876,(2018)
Await Further Instructions,2018,"Horror, Mystery, Sci-Fi",4.8,2,6534,(2018)
Badla,2019,"Crime, Drama, Mystery",7.9,9,19370,(2019)
The Invisible Guest,2016,"Crime, Mystery, Thriller",8.1,10,119091,(2016)
The Highwaymen,2019,"Biography, Crime, Drama",6.9,8,65861,(2019)
Masterminds,2016,"Biography, Comedy, Crime",5.8,6,48558,(I) (2016)
Good Will Hunting,1997,"Drama, Romance",8.3,10,825116,(1997)
No Country for Old Men,2007,"Crime, Drama, Thriller",8.1,9,817451,(2007)
Solo: A Star Wars Story,2018,"Action, Adventure, Sci-Fi",6.9,7,271264,(2018)
Train to Busan,2016,"Action, Horror, Thriller",7.5,8,140189,(2016)
Karthik Calling Karthik,2010,"Drama, Mystery, Thriller",7,10,10015,(2010)
Triple Frontier,2019,"Action, Adventure, Crime",6.4,9,97846,(2019)
Rustom,2016,"Crime, Drama, Thriller",7.1,8,22077,(2016)
Luka Chuppi,2019,"Comedy, Romance",6.3,8,7505,(I) (2019)
City of God,2002,"Crime, Drama",8.6,10,679141,(2002)
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",7.7,8,273169,(2018)
Gully Boy,2019,"Drama, Musical",8.2,10,27265,(2019)
Decanted.,2016,Documentary,5.8,8,183,(2016)
SOMM 3,2018,Documentary,7,8,265,(2018)
SOMM: Into the Bottle,2015,Documentary,7.3,8,1560,(2015)
Somm,2012,Documentary,7,8,4228,(2012)
That '70s Show,1998,"Comedy, Romance",8.1,9,148790,(1998–2006)
Russian Doll,2019,"Adventure, Comedy, Drama",7.9,9,58852,(2019– )
Ant-Man and the Wasp,2018,"Action, Adventure, Comedy",7.1,7,287890,(2018)
Ex Machina,2014,"Drama, Mystery, Sci-Fi",7.7,9,455292,(2014)
Hacksaw Ridge,2016,"Biography, Drama, History",8.1,9,409077,(2016)
Sonu Ke Titu Ki Sweety,2018,"Comedy, Romance",7.1,8,18390,(2018)
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",8.3,10,877564,(2004)
Murder on the Orient Express,2017,"Crime, Drama, Mystery",6.5,9,198818,(2017)
Parmanu: The Story of Pokhran,2018,"Action, Drama, History",7.7,8,19700,(2018)
Johnny the Traitor,2007,"Crime, Drama, Mystery",7.8,8,11079,(2007)
Pad Man,2018,"Comedy, Drama",7.9,9,19114,(2018)
Coco,2017,"Animation, Adventure, Family",8.4,9,340052,(I) (2017)
Oldboy,2003,"Action, Drama, Mystery",8.4,8,493496,(2003)
Khatta Meetha,2010,"Comedy, Crime, Drama",5.6,8,9143,(2010)
Narcos: Mexico,2018,"Crime, Drama",8.4,9,53154,(2018– )
Ocean's 8,2018,"Action, Comedy, Crime",6.2,7,170256,(2018)
Raanjhanaa,2013,"Drama, Romance",7.6,8,28333,(2013)
Parks and Recreation,2009,Comedy,8.6,9,197288,(2009–2020)
Johnny English Reborn,2011,"Action, Adventure, Comedy",6.3,7,116494,(2011)
Dhamaal,2007,"Action, Adventure, Comedy",7.3,8,12340,(2007)
Phir Hera Pheri,2006,"Comedy, Crime",6.8,10,15770,(2006)
Toilet: A Love Story,2017,"Comedy, Drama",7.2,9,16881,(2017)
Three,2016,"Drama, Mystery, Thriller",7.3,9,10940,(2016)
Bridge of Spies,2015,"Drama, History, Thriller",7.6,8,277365,(2015)
Dum Laga Ke Haisha,2015,"Comedy, Drama, Romance",7.5,9,16902,(2015)
Badhaai Ho,2018,"Comedy, Drama",8,9,25051,(2018)
Dunkirk,2017,"Action, Drama, History",7.9,8,518383,(2017)
The Office,2005,Comedy,8.9,9,360340,(2005–2013)
Zodiac,2007,"Crime, Drama, Mystery",7.7,10,432252,(2007)
Mirzapur,2018,"Action, Crime, Drama",8.5,10,25331,(2018– )
Crazy Rich Asians,2018,"Comedy, Drama, Romance",6.9,6,126537,(2018)
Johnny English Strikes Again,2018,"Action, Adventure, Comedy",6.2,7,57764,(2018)
Andhadhun,2018,"Crime, Thriller",8.3,10,61470,(2018)
Goodfellas,1990,"Biography, Crime, Drama",8.7,9,976709,(1990)
Scarface,1983,"Crime, Drama",8.3,9,710721,(1983)
Bohemian Rhapsody,2018,"Biography, Drama, Music",8,9,424563,(2018)
The Pianist,2002,"Biography, Drama, Music",8.5,9,696871,(2002)
The Hateful Eight,2015,"Crime, Drama, Mystery",7.8,9,489909,(2015)
Explained,2018,Documentary,8,9,5661,(2018– )
